ACCIDENT_NO,SUB_DCA_CODE,SUB_DCA_SEQ,SUB_DCA_CODE_DESC
T20140023265,NRQ,0,Not Required
T20140023478,NRQ,0,Not Required
T20140023623,Q01,0,Poles (telephone/electricity)
T20140023652,W02,2,Leaves carriageway to right
T20140023664,Q04,0,Embankments
T20140023744,Q03,0,Fences (including gates)
T20140024277,Z01,0,On freeway (between interchanges)
T20140024411,N01,1,Intersection
T20140024515,A01,0,Vehicle entering intersection
T20140024532,I01,0,Private driveway/laneway
T20140024664,NRQ,0,Not Required
T20140024980,N02,0,Mid-block
T20140025883,W02,1,Leaves carriageway to right
T20140026060,Q36,0,Animals - Kangaroo or Wallaby
T20140026268,W01,1,Leaves carriageway to left
T20140026404,N01,1,Intersection
T20140026585,Q02,0,Tree (shrub/scrub)
T20140026757,N01,0,Intersection
T20140027138,J02,1,Alighting
T20150000146,M01,0,Vehicle turning through medianopening
T20150000203,P01,0,Hit by veh from same dir as initial dir of U-turning veh
T20150000487,NRQ,0,Not Required
T20150000510,NRQ,0,Not Required
T20150000627,W01,2,Leaves carriageway to left
T20150000734,V01,0,No vehicle mounted/struck
T20150000830,V01,1,No vehicle mounted/struck
T20150001455,L03,0,Road straight at mid-block
T20150001831,I04,1,Commercial(includes shops/school/station) driveway
T20150001840,V01,1,No vehicle mounted/struck
T20150001949,NRQ,0,Not Required
T20150002270,N02,1,Mid-block
T20150002374,N01,1,Intersection
T20150003085,NRQ,0,Not Required
T20150003256,P01,0,Hit by veh from same dir as initial dir of U-turning veh
T20150004024,V01,1,No vehicle mounted/struck
T20150004124,A01,0,Vehicle entering intersection
T20150004150,NRQ,0,Not Required
T20150004439,N02,0,Mid-block
T20150004718,NRQ,0,Not Required
T20150004721,V01,1,No vehicle mounted/struck
T20150004841,A01,0,Vehicle entering intersection
T20150005007,W02,2,Leaves carriageway to right
T20150005585,R02,0,Kerb parking - parallel
T20150005764,V01,1,No vehicle mounted/struck
T20150005833,N01,1,Intersection
T20150006365,NRQ,0,Not Required
T20150006773,N02,0,Mid-block
T20150006900,I04,0,Commercial(includes shops/school/station) driveway
T20150006952,V01,0,No vehicle mounted/struck
T20150007020,Q01,0,Poles (telephone/electricity)
T20150007054,B03,1,Vehicle turning left
T20150007079,R02,0,Kerb parking - parallel
T20150007176,V05,1,Median mounted/struck
T20150007599,V01,0,No vehicle mounted/struck
T20150007648,NRQ,0,Not Required
T20150007669,B01,1,Vehicle going straight through
T20150007684,Q03,0,Fences (including gates)
T20150007782,W02,2,Leaves carriageway to right
T20150008149,Z01,0,On freeway (between interchanges)
T20150008435,M01,0,Vehicle turning through medianopening
T20150008803,V01,1,No vehicle mounted/struck
T20150008999,N01,1,Intersection
T20150009172,Q02,0,Tree (shrub/scrub)
T20150009415,N01,1,Intersection
T20150009440,N02,0,Mid-block
T20150009852,NRQ,0,Not Required
T20150009863,W01,1,Leaves carriageway to left
T20150009900,N01,1,Intersection
T20150010814,I04,0,Commercial(includes shops/school/station) driveway
T20150010836,R02,0,Kerb parking - parallel
T20150011034,N01,1,Intersection
T20150011226,V01,1,No vehicle mounted/struck
T20150011237,A02,0,Vehicle leaving intersection
T20150011389,N02,0,Mid-block
T20150011589,Q02,0,Tree (shrub/scrub)
T20150012258,W01,2,Leaves carriageway to left
T20150013362,NRQ,0,Not Required
T20150013400,NRQ,0,Not Required
T20150013592,Z01,1,On freeway (between interchanges)
T20150013973,NRQ,0,Not Required
T20150014302,V01,0,No vehicle mounted/struck
T20150014730,Q03,0,Fences (including gates)
T20150015032,A02,0,Vehicle leaving intersection
T20150015076,NRQ,0,Not Required
T20150015150,V01,0,No vehicle mounted/struck
T20150015858,N01,1,Intersection
T20150015972,NRQ,0,Not Required
T20150016032,N02,0,Mid-block
T20150016113,Q01,0,Poles (telephone/electricity)
T20150016118,NRQ,0,Not Required
T20150016123,W02,2,Leaves carriageway to right
T20150016786,Q02,0,Tree (shrub/scrub)
T20150016909,N02,0,Mid-block
T20150017222,NRQ,0,Not Required
T20150018587,Q02,0,Tree (shrub/scrub)
T20150018760,Q03,1,Fences (including gates)
T20150018981,W01,2,Leaves carriageway to left
T20150019004,NRQ,0,Not Required
T20150019289,W01,2,Leaves carriageway to left
T20150019348,V01,0,No vehicle mounted/struck
T20150019569,V02,1,Kerb(roadside) mounted/struck
T20150020180,NRQ,0,Not Required
T20150020242,N02,0,Mid-block
T20150020396,Z01,0,On freeway (between interchanges)
T20150020634,NRQ,0,Not Required
T20150020728,W02,2,Leaves carriageway to right
T20150020887,Q02,0,Tree (shrub/scrub)
T20150021328,NRQ,0,Not Required
T20150021358,Q36,0,Animals - Kangaroo or Wallaby
T20150021644,A01,0,Vehicle entering intersection
T20150021789,W01,2,Leaves carriageway to left
T20150022036,V01,1,No vehicle mounted/struck
T20150022063,V01,0,No vehicle mounted/struck
T20150022193,V01,0,No vehicle mounted/struck
T20150022550,W02,2,Leaves carriageway to right
T20150022573,NRQ,0,Not Required
T20150022950,F02,0,Paved footpath
T20150023117,A03,0,Vehicle within intersection
T20150023370,A03,0,Vehicle within intersection
T20150023518,NRQ,0,Not Required
T20150023600,Q02,0,Tree (shrub/scrub)
T20150023704,A01,0,Vehicle entering intersection
T20150023717,P01,0,Hit by veh from same dir as initial dir of U-turning veh
T20150023929,NRQ,0,Not Required
T20150024148,NRQ,0,Not Required
T20150024271,X01,0,Fell in vehicle
T20150024869,Q04,0,Embankments
T20150025311,Q07,0,Guard rail
T20150026813,N02,0,Mid-block
T20150026887,NRQ,0,Not Required
T20150027104,A01,0,Vehicle entering intersection
T20150027149,A01,0,Vehicle entering intersection
T20160000035,V01,1,No vehicle mounted/struck
T20160000392,V05,1,Median mounted/struck
T20160000707,NRQ,0,Not Required
T20160000740,N01,0,Intersection
T20160000764,NRQ,0,Not Required
T20160000870,N01,1,Intersection
T20160000980,NRQ,0,Not Required
T20160001387,NRQ,0,Not Required
T20160001517,Q01,0,Poles (telephone/electricity)
T20160001777,N01,1,Intersection
T20160001863,NRQ,0,Not Required
T20160002192,NRQ,0,Not Required
T20160002712,W02,2,Leaves carriageway to right
T20160002721,N01,0,Intersection
T20160002980,L04,0,Road curved at mid-block
T20160003087,Z06,0,On exit ramp
T20160003279,W02,1,Leaves carriageway to right
T20160003500,NRQ,0,Not Required
T20160003577,NRQ,0,Not Required
T20160003583,V01,2,No vehicle mounted/struck
T20160003881,I01,0,Private driveway/laneway
T20160003977,NRQ,0,Not Required
T20160004090,B01,1,Vehicle going straight through
T20160004198,NRQ,0,Not Required
T20160004288,N02,1,Mid-block
T20160005189,Z01,0,On freeway (between interchanges)
T20160005334,W01,2,Leaves carriageway to left
T20160005451,S01,2,Collision on first half of carriageway
T20160005538,B01,0,Vehicle going straight through
T20160005786,NRQ,0,Not Required
T20160006310,B01,0,Vehicle going straight through
T20160006569,NRQ,0,Not Required
T20160006598,N02,0,Mid-block
T20160006743,V01,1,No vehicle mounted/struck
T20160006880,B01,0,Vehicle going straight through
T20160006894,Z01,1,On freeway (between interchanges)
T20160007505,V01,1,No vehicle mounted/struck
T20160007623,NRQ,0,Not Required
T20160007629,NRQ,0,Not Required
T20160007769,B02,1,Vehicle turning right
T20160008584,N02,0,Mid-block
T20160008870,NRQ,0,Not Required
T20160008918,Q04,0,Embankments
T20160009238,B03,1,Vehicle turning left
T20160009742,NRQ,0,Not Required
T20160009772,Q07,0,Guard rail
T20160009835,NRQ,0,Not Required
T20160009918,N01,1,Intersection
T20160010141,A03,0,Vehicle within intersection
T20160010350,NRQ,0,Not Required
T20160010390,N02,0,Mid-block
T20160011037,I04,0,Commercial(includes shops/school/station) driveway
T20160011265,V01,1,No vehicle mounted/struck
T20160012042,Z01,1,On freeway (between interchanges)
T20160012595,Q02,0,Tree (shrub/scrub)
T20160013123,NRQ,0,Not Required
T20160013208,V01,1,No vehicle mounted/struck
T20160013373,A03,0,Vehicle within intersection
T20160013998,V01,1,No vehicle mounted/struck
T20160014496,R03,0,Centre of road parking - angle
T20160014598,A03,0,Vehicle within intersection
T20160014866,A01,0,Vehicle entering intersection
T20160015398,F02,0,Paved footpath
T20160015591,NRQ,0,Not Required
T20160016291,A01,0,Vehicle entering intersection
T20160016692,NRQ,0,Not Required
T20160017374,NRQ,0,Not Required
T20160017849,A03,0,Vehicle within intersection
T20160019072,NRQ,0,Not Required
T20160019335,Z01,1,On freeway (between interchanges)
T20160019789,N02,0,Mid-block
T20160020296,N01,1,Intersection
T20160020329,V07,0,Roundabout mounted/struck
T20160020330,Z01,1,On freeway (between interchanges)
T20160020936,NRQ,0,Not Required
T20160021024,B01,1,Vehicle going straight through
T20160021130,N02,0,Mid-block
T20160021383,NRQ,0,Not Required
T20160022046,A03,0,Vehicle within intersection
T20160022190,N02,0,Mid-block
T20160022710,NRQ,0,Not Required
T20160023070,S01,2,Collision on first half of carriageway
T20160023125,V01,1,No vehicle mounted/struck
T20160023402,V02,0,Kerb(roadside) mounted/struck
T20160024111,NRQ,0,Not Required
T20160024227,V01,1,No vehicle mounted/struck
T20160024487,N01,1,Intersection
T20160025306,NRQ,0,Not Required
T20160025402,P01,0,Hit by veh from same dir as initial dir of U-turning veh
T20160025464,NRQ,0,Not Required
T20160025792,N02,1,Mid-block
T20160026064,W01,2,Leaves carriageway to left
T20160026439,S01,2,Collision on first half of carriageway
T20160026483,V02,1,Kerb(roadside) mounted/struck
T20160027074,I04,1,Commercial(includes shops/school/station) driveway
T20160027133,Q03,0,Fences (including gates)
T20160027266,N02,0,Mid-block
T20160027267,NRQ,0,Not Required
T20160027369,V05,1,Median mounted/struck
T20160027417,N01,1,Intersection
T20160027723,NRQ,0,Not Required
T20160027845,W02,2,Leaves carriageway to right
T20160027882,N02,0,Mid-block
T20160027979,I01,1,Private driveway/laneway
T20160028136,NRQ,0,Not Required
T20160028147,NRQ,0,Not Required
T20170000004,Q02,0,Tree (shrub/scrub)
T20170000110,W02,2,Leaves carriageway to right
T20170000717,A03,0,Vehicle within intersection
T20170000968,NRQ,0,Not Required
T20170001342,N02,0,Mid-block
T20170001714,I04,1,Commercial(includes shops/school/station) driveway
T20170001756,V02,1,Kerb(roadside) mounted/struck
T20170001858,I04,0,Commercial(includes shops/school/station) driveway
T20170002302,Z03,3,On entrance ramp
T20170003237,N02,0,Mid-block
T20170003240,I01,0,Private driveway/laneway
T20170003324,Q02,0,Tree (shrub/scrub)
T20170003366,V01,0,No vehicle mounted/struck
T20170003377,Q02,0,Tree (shrub/scrub)
T20170003572,NRQ,0,Not Required
T20170003707,NRQ,0,Not Required
T20170003792,Q02,0,Tree (shrub/scrub)
T20170004127,V01,1,No vehicle mounted/struck
T20170004239,Z01,1,On freeway (between interchanges)
T20170004328,I04,0,Commercial(includes shops/school/station) driveway
T20170004412,V01,1,No vehicle mounted/struck
T20170004475,E04,0,Pedestrian standing
T20170004621,L04,0,Road curved at mid-block
T20170004711,H04,1,Vehicle reverse departing
T20170004800,NRQ,0,Not Required
T20170005263,NRQ,0,Not Required
T20170005362,Z07,2,At exit ramp/local road intersection
T20170005542,A04,0,Vehicle in left turn slip lane
T20170005590,Q03,0,Fences (including gates)
T20170005761,N01,1,Intersection
T20170006182,Q31,0,Animals - Domestic (Cats and Dogs)
T20170006585,N01,1,Intersection
T20170006620,Q04,0,Embankments
T20170007157,N02,0,Mid-block
T20170007727,N01,0,Intersection
T20170007954,V01,1,No vehicle mounted/struck
T20170007965,N02,0,Mid-block
T20170008328,M01,0,Vehicle turning through medianopening
T20170008360,S03,2,On footpath
T20170008710,V01,0,No vehicle mounted/struck
T20170008897,H03,0,Vehicle foward departing
T20170008971,H04,0,Vehicle reverse departing
T20170009302,NRQ,0,Not Required
T20170009309,V01,1,No vehicle mounted/struck
T20170009950,Q02,0,Tree (shrub/scrub)
T20170010966,V01,1,No vehicle mounted/struck
T20170011135,V01,1,No vehicle mounted/struck
T20170011159,Q02,0,Tree (shrub/scrub)
T20170011370,Q38,0,Animals - Other wild animal orbird
T20170011647,Y01,0,Any vehicle (include trailer or parked car)
T20170011700,NRQ,0,Not Required
T20170011924,Q02,0,Tree (shrub/scrub)
T20170012340,A01,0,Vehicle entering intersection
T20170012729,Q02,0,Tree (shrub/scrub)
T20170012741,NRQ,0,Not Required
T20170012935,H03,0,Vehicle foward departing
T20170013050,NRQ,0,Not Required
T20170013725,A04,0,Vehicle in left turn slip lane
T20170013748,Q04,0,Embankments
T20170013810,Q06,0,Traffic signs (No parking No standing etc)
T20170013965,N01,1,Intersection
T20170014079,V01,0,No vehicle mounted/struck
T20170014182,B01,1,Vehicle going straight through
T20170014428,N01,1,Intersection
T20170014617,I04,1,Commercial(includes shops/school/station) driveway
T20170014820,N01,1,Intersection
T20170014869,P01,0,Hit by veh from same dir as initial dir of U-turning veh
T20170015206,NRQ,0,Not Required
T20170015928,NRQ,0,Not Required
T20170016048,A03,0,Vehicle within intersection
T20170016057,N02,0,Mid-block
T20170016175,I04,1,Commercial(includes shops/school/station) driveway
T20170016225,N02,0,Mid-block
T20170016394,R02,0,Kerb parking - parallel
T20170016519,NRQ,0,Not Required
T20170017914,Y01,0,Any vehicle (include trailer or parked car)
T20170018073,NRQ,0,Not Required
T20170018242,V01,1,No vehicle mounted/struck
T20170018324,NRQ,0,Not Required
T20170018368,Q02,0,Tree (shrub/scrub)
T20170018497,A03,0,Vehicle within intersection
T20170018810,N02,0,Mid-block
T20170019112,W01,1,Leaves carriageway to left
T20170019148,Z03,1,On entrance ramp
T20170019427,N01,1,Intersection
T20170019445,M01,0,Vehicle turning through medianopening
T20170019910,NRQ,0,Not Required
T20170019999,Q02,0,Tree (shrub/scrub)
T20170020134,B02,0,Vehicle turning right
T20170020334,Y01,0,Any vehicle (include trailer or parked car)
T20170020401,N02,0,Mid-block
T20170021402,A01,0,Vehicle entering intersection
T20170022095,V03,1,Traffic island mounted/struck
T20170022613,L03,0,Road straight at mid-block
T20170022670,V01,1,No vehicle mounted/struck
T20170022722,Q06,0,Traffic signs (No parking No standing etc)
T20170023026,W02,2,Leaves carriageway to right
T20170023490,N02,0,Mid-block
T20170023689,A01,0,Vehicle entering intersection
T20170023883,NRQ,0,Not Required
T20170024469,NRQ,0,Not Required
T20170024634,V02,0,Kerb(roadside) mounted/struck
T20170024753,V01,1,No vehicle mounted/struck
T20170024778,F04,0,Not on Footpath
T20180000351,N01,0,Intersection
T20180000622,Q02,0,Tree (shrub/scrub)
T20180000986,N02,1,Mid-block
T20180001039,I04,1,Commercial(includes shops/school/station) driveway
T20180001056,V05,1,Median mounted/struck
T20180001270,W01,2,Leaves carriageway to left
T20180001436,Z07,0,At exit ramp/local road intersection
T20180001509,C01,0,Pedestrian stepped off median strip
T20180002049,V01,1,No vehicle mounted/struck
T20180002083,R01,0,Kerb parking - angle
T20180002547,V02,1,Kerb(roadside) mounted/struck
T20180002659,P01,0,Hit by veh from same dir as initial dir of U-turning veh
T20180002730,Z07,2,At exit ramp/local road intersection
T20180003018,N01,1,Intersection
T20180003037,L03,0,Road straight at mid-block
T20180003128,W01,1,Leaves carriageway to left
T20180003224,Q02,0,Tree (shrub/scrub)
T20180003346,A01,0,Vehicle entering intersection
T20180003736,Z01,1,On freeway (between interchanges)
T20180003807,NRQ,0,Not Required
T20180003919,B04,0,Vehicle reversing
T20180004392,V01,1,No vehicle mounted/struck
T20180004548,N02,0,Mid-block
T20180004662,W01,2,Leaves carriageway to left
T20180004668,V05,1,Median mounted/struck
T20180004682,N02,0,Mid-block
T20180004689,L03,0,Road straight at mid-block
T20180005210,N01,0,Intersection
T20180005416,A04,0,Vehicle in left turn slip lane
T20180006870,N02,0,Mid-block
T20180007381,V01,1,No vehicle mounted/struck
T20180007483,Z01,1,On freeway (between interchanges)
T20180007573,NRQ,0,Not Required
T20180007973,Q02,0,Tree (shrub/scrub)
T20180008056,V02,1,Kerb(roadside) mounted/struck
T20180008105,N02,0,Mid-block
T20180008890,V05,0,Median mounted/struck
T20180008944,A01,0,Vehicle entering intersection
